NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	77	-0.7164656	-2.0915256	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	Details ...	77	-0.7164656	-2.0865393	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	77	-0.7164656	-2.0864916	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	77	-0.7164656	-2.0820405	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	77	-0.7164656	-2.0767462	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	77	-0.7164656	-2.0764883	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	Details ...	77	-0.7164656	-2.0725746	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	Details ...	77	-0.7164656	-2.072511	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	77	-0.7164656	-2.0708468	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	77	-0.7164656	-2.0701346	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	Details ...	77	-0.7164656	-2.0677614	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	Details ...	77	-0.7164656	-2.0640528	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	Details ...	77	-0.7164656	-2.0638933	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	Details ...	77	-0.7164656	-2.0628214	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	Details ...	77	-0.7164656	-2.06202	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	77	-0.7164656	-2.058691	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	77	-0.7164656	-2.0570061	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220510%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220510%WP477%HOMO SAPIENS	Details ...	81	-0.7037388	-2.052886	0.0	0.0	0.0	2526	tags=62%, list=20%, signal=76%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	77	-0.7164656	-2.0492227	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	Details ...	77	-0.7164656	-2.0408256	0.0	0.0	0.0	2526	tags=65%, list=20%, signal=80%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2		89	-0.6626286	-1.9584522	0.0	3.5903315E-4	0.011	2526	tags=62%, list=20%, signal=76%	
VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 83%192823	VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 83%192823		85	-0.6570934	-1.9404517	0.0	5.931969E-4	0.019	2526	tags=62%, list=20%, signal=77%	
