NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016	CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016	Details ...	44	0.8544174	2.1786985	0.0	0.0	0.0	1000	tags=50%, list=8%, signal=54%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	120	0.7276804	2.1535206	0.0	0.0	0.0	1345	tags=42%, list=10%, signal=46%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	121	0.7066174	2.1166828	0.0	0.0	0.0	1168	tags=42%, list=9%, signal=46%	
SMOOTH MUSCLE CONTRACTION%REACTOME%R-HSA-445355.6	SMOOTH MUSCLE CONTRACTION%REACTOME%R-HSA-445355.6	Details ...	30	0.88157374	2.0745358	0.0	3.2324108E-4	0.001	346	tags=47%, list=3%, signal=48%	
INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0007229	INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0007229	Details ...	49	0.79840165	2.054496	0.0	2.5859286E-4	0.001	1377	tags=47%, list=11%, signal=52%	
METABOLISM OF POLYAMINES%REACTOME DATABASE ID RELEASE 83%351202	METABOLISM OF POLYAMINES%REACTOME DATABASE ID RELEASE 83%351202	Details ...	50	0.7918142	2.0520499	0.0	2.1549404E-4	0.001	2123	tags=72%, list=16%, signal=86%	
HIV INFECTION%REACTOME%R-HSA-162906.2	HIV INFECTION%REACTOME%R-HSA-162906.2	Details ...	195	0.65512955	2.0427957	0.0	1.8470916E-4	0.001	1925	tags=40%, list=15%, signal=46%	
REGULATION OF RAS BY GAPS%REACTOME DATABASE ID RELEASE 83%5658442	REGULATION OF RAS BY GAPS%REACTOME DATABASE ID RELEASE 83%5658442	Details ...	58	0.74225885	2.0046077	0.0	4.8474962E-4	0.003	2123	tags=64%, list=16%, signal=76%	
HOST INTERACTIONS OF HIV FACTORS%REACTOME DATABASE ID RELEASE 83%162909	HOST INTERACTIONS OF HIV FACTORS%REACTOME DATABASE ID RELEASE 83%162909	Details ...	111	0.6885905	2.0030527	0.0	4.3088855E-4	0.003	1897	tags=46%, list=15%, signal=53%	
GLI3 IS PROCESSED TO GLI3R BY THE PROTEASOME%REACTOME%R-HSA-5610785.1	GLI3 IS PROCESSED TO GLI3R BY THE PROTEASOME%REACTOME%R-HSA-5610785.1	Details ...	55	0.7631417	1.9977051	0.0	5.149933E-4	0.004	2123	tags=64%, list=16%, signal=76%	
DEGRADATION OF GLI1 BY THE PROTEASOME%REACTOME%R-HSA-5610780.1	DEGRADATION OF GLI1 BY THE PROTEASOME%REACTOME%R-HSA-5610780.1	Details ...	54	0.7503404	1.997644	0.0	4.681757E-4	0.004	2123	tags=65%, list=16%, signal=77%	
DECTIN-1 MEDIATED NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5607761.1	DECTIN-1 MEDIATED NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5607761.1	Details ...	54	0.7580768	1.9961295	0.0	5.346372E-4	0.005	2123	tags=63%, list=16%, signal=75%	
HEDGEHOG LIGAND BIOGENESIS%REACTOME%R-HSA-5358346.1	HEDGEHOG LIGAND BIOGENESIS%REACTOME%R-HSA-5358346.1	Details ...	54	0.7553069	1.994461	0.0	4.9351127E-4	0.005	2123	tags=61%, list=16%, signal=73%	
