"","CPO_Mock_72hpi_S1","CPO_Mock_72hpi_S2","CPO_Mock_72hpi_S3","CPO_SARS-CoV-2_24hpi_S4","CPO_SARS-CoV-2_24hpi_S5","CPO_SARS-CoV-2_24hpi_S6","CPO_SARS-CoV-2_72hpi_S7","CPO_SARS-CoV-2_72hpi_S8","CPO_SARS-CoV-2_72hpi_S9"
"LOC100287934",34,23,29,26,30,31,12,16,32
"LINC01128",155,179,112,53,198,212,208,104,172
"NOC2L",30,14,9,11,18,25,37,34,38
"AGRN",25,31,19,11,42,26,46,32,40
"LOC100288175",41,22,14,19,45,39,41,22,38
"SDF4",45,62,25,23,46,39,63,49,42
"B3GALT6",29,24,23,22,23,33,43,34,16
"UBE2J2",29,18,15,11,14,41,22,9,31
"CPSF3L",80,63,44,23,75,52,71,46,71
"MXRA8",56,52,28,25,55,65,101,68,33
"AURKAIP1",50,33,39,23,45,31,55,28,37
"CCNL2",470,449,267,183,301,292,569,294,443
"MRPL20",1738,1618,1432,1037,1627,1760,2273,1446,1743
"SSU72",684,703,554,323,663,674,940,579,707
"CDK11B",88,101,43,33,51,74,82,48,41
"SLC35E2B",435,419,313,240,352,437,482,263,338
"CDK11A",93,123,77,60,99,114,138,84,101
"SLC35E2",272,230,222,114,176,243,261,161,185
"NADK",41,23,17,15,15,19,48,25,27
"GNB1",2277,2299,1799,1418,2463,3085,4030,2266,2641
"PRKCZ",20,22,19,15,44,35,36,23,12
"SKI",34,45,31,14,42,38,46,20,22
"RER1",173,160,130,92,185,157,223,162,179
"PANK4",42,43,23,27,33,33,47,30,30
"FAM213B",31,18,21,10,12,27,18,24,31
"LINC00982",117,104,72,41,58,34,34,24,28
"PRDM16",175,125,151,52,67,77,111,86,100
"MEGF6",24,12,11,20,13,28,29,17,23
"TPRG1L",123,130,115,59,122,155,110,77,82
"WRAP73",32,47,26,20,52,58,37,38,31
"TP73-AS1",188,185,173,90,169,201,215,140,208
"LRRC47",244,218,189,144,232,270,317,180,203
"CEP104",399,359,350,164,328,504,401,221,337
"DFFB",75,48,57,18,63,74,76,55,63
"C1orf174",754,664,615,418,720,847,848,528,599
"AJAP1",58,46,44,31,47,36,71,41,52
"NPHP4",69,50,30,37,28,59,74,26,44
"RPL22",3680,3434,2972,1670,3282,3360,3527,2106,2822
"RNF207",69,39,38,20,28,28,35,20,13
"ICMT",278,179,184,100,153,162,359,161,193
"ACOT7",37,37,29,45,48,53,176,104,88
"NOL9",240,242,212,182,261,315,385,217,295
"KLHL21",126,138,98,101,147,150,227,97,123
"PHF13",79,61,47,27,75,91,68,55,70
"THAP3",52,50,44,12,31,20,71,32,47
"DNAJC11",92,118,100,76,118,133,191,110,140
"CAMTA1",1999,1870,1568,1392,2061,2807,2787,1655,1677
"VAMP3",1970,2114,1856,1545,2431,2754,2937,1650,2439
"PER3",537,469,298,169,252,300,441,132,214
"TNFRSF9",0,14,1,33,38,63,130,81,25
"PARK7",5810,5961,4808,3854,6404,6759,8582,5740,6378
"ERRFI1",928,794,722,2001,2700,3323,4440,2291,2652
"RERE",803,693,504,422,700,786,987,449,608
"ENO1",20338,28556,23143,21876,47385,44907,45638,27538,34977
"SLC2A5",48,44,23,32,59,18,67,41,70
"LOC102724571",112,103,95,56,77,102,142,80,109
"H6PD",482,448,325,235,364,474,508,337,481
"SLC25A33",39,50,43,26,69,116,50,52,52
"TMEM201",25,32,16,12,18,19,34,23,21
"PIK3CD",34,55,31,37,44,72,125,61,56
"CLSTN1",304,344,234,161,277,365,316,232,213
"CTNNBIP1",46,37,41,38,42,54,117,55,34
"LZIC",1290,1237,1183,925,1434,1541,1705,937,1304
"NMNAT1",480,466,425,292,458,583,605,435,468
"RBP7",21,42,24,40,66,51,29,26,50
"UBE4B",1410,1429,1282,1129,1486,1910,2374,1277,1750
"KIF1B",2812,2327,2208,1927,2992,3805,4113,2232,2739
"PGD",3610,3708,2932,2141,4228,4328,6361,3917,4639
"APITD1",46,23,17,21,39,37,44,25,38
"DFFA",882,857,658,479,899,1004,1462,888,1081
"PEX14",31,30,11,8,17,25,16,18,26
"CASZ1",81,98,82,38,64,54,52,26,56
"TARDBP",7684,8865,8293,6374,11366,12817,12396,7509,9511
"MASP2",181,166,190,86,149,152,132,100,113
"SRM",53,54,47,25,31,49,82,50,53
"EXOSC10",2399,1965,1503,767,1254,1616,2750,1395,1994
"MTOR",515,552,440,333,439,530,710,424,513
"ANGPTL7",56,72,30,22,27,69,75,33,38
"UBIAD1",99,119,67,54,110,103,167,81,98
"FBXO2",19,27,11,15,24,19,39,27,23
"FBXO44",85,121,73,52,120,79,111,70,81
"FBXO6",26,34,22,17,19,23,18,16,27
"MAD2L2",78,68,50,24,100,57,88,47,38
"AGTRAP",124,142,64,54,90,87,215,106,142
"MTHFR",438,390,304,256,361,414,531,235,413
"CLCN6",100,140,90,56,139,121,134,78,123
"NPPB",3,17,9,12,43,60,82,64,50
"KIAA2013",69,60,43,24,53,50,86,42,54
"PLOD1",351,319,219,97,203,185,355,200,265
"MFN2",276,279,210,115,274,275,314,176,234
"VPS13D",727,736,492,364,574,570,598,370,573
"DHRS3",243,281,195,74,108,116,131,88,164
"C1orf158",313,205,187,104,138,173,162,115,169
"PDPN",571,522,467,373,483,552,647,402,507
"PRDM2",830,736,643,631,825,1098,1135,712,807
"KAZN",261,330,248,171,371,377,362,273,307
"TMEM51",25,21,16,14,31,36,35,19,25
"FHAD1",292,243,170,87,110,212,181,115,157
"CASP9",122,110,62,44,70,102,100,31,76
"DNAJC16",1570,1384,1173,840,975,1288,2549,1224,1462
"RSC1A1",25,30,28,22,43,56,39,16,24
"PLEKHM2",25,16,13,6,30,17,31,20,28
"FBLIM1",27,30,12,29,46,77,120,62,53
"UQCRHL",129,142,116,90,134,156,122,49,84
"FLJ37453",42,64,32,20,38,38,43,19,22
"SPEN",883,755,675,482,852,863,935,547,635
"EPHA2",97,92,43,56,138,137,239,155,137
"FBXO42",1080,1032,892,680,1395,1410,1063,732,946
"SZRD1",39,38,28,18,23,28,72,35,62
"NECAP2",218,187,140,130,200,281,355,147,273
"CROCCP3",215,237,230,157,220,290,298,127,191
"NBPF1",24,38,25,19,31,29,44,17,33
"CROCCP2",37,55,43,17,42,50,52,24,36
"MFAP2",188,140,136,117,145,160,258,163,159
"SDHB",1156,1102,844,497,826,921,1177,718,980
"RCC2",444,481,412,384,628,704,686,600,755
"IGSF21",64,61,41,14,39,35,59,29,37
"UBR4",1320,1353,993,723,1317,1406,1749,949,1327
"LOC101927895",26,31,23,13,19,12,43,17,27
"EMC1",1331,1452,1102,831,1331,1481,2042,1393,1788
"MRTO4",252,257,190,178,254,314,560,338,396
"LOC100506730",550,558,503,492,643,856,676,390,673
"AKR7A2",94,108,49,45,104,127,109,80,100
"CAPZB",522,499,400,343,604,543,842,517,632
"MINOS1",2904,2445,2020,1915,2256,2808,3968,2474,2671
"RPS14P3",116,106,100,42,92,91,127,70,118
"OTUD3",561,862,762,1050,1486,1801,707,509,621
"PLA2G5",33,45,16,12,12,16,35,12,9
"UBXN10-AS1",33,17,29,21,10,30,30,20,21
"UBXN10",1931,1681,1613,872,1172,1582,1595,1106,1508
"VWA5B1",31,65,46,13,34,20,20,23,36
"CAMK2N1",220,251,214,188,361,508,456,277,330
"MUL1",207,191,137,63,136,142,265,139,158
"PINK1-AS",39,60,39,24,30,56,57,41,45
"DDOST",4731,4319,2736,1387,2531,2927,5493,3206,3737
"HP1BP3",3468,3552,3058,2352,3427,3893,4451,2493,3239
"EIF4G3",5268,4990,4707,3085,3689,4452,5274,2794,4010
"NBPF3",105,122,91,46,77,117,87,57,65
"USP48",633,785,584,518,769,725,712,353,620
"LINC00339",332,304,318,210,285,313,314,196,268
"CDC42",3532,3506,2808,2966,4451,5453,5821,3847,4580
"ZBTB40",395,324,366,259,352,467,420,277,393
"EPHB2",72,72,48,39,97,114,217,126,104
"KDM1A",1041,1086,965,846,1227,1666,1646,910,1009
"LUZP1",477,444,374,391,603,796,1023,508,621
"RP5-1057J7.6",2446,1913,1891,2200,2461,3900,2604,829,2009
"HNRNPR",1464,1544,1214,1043,1626,1806,2056,1402,1653
"ZNF436",1189,1091,1178,628,1042,1179,1557,953,1306
"C1orf213",29,28,19,15,28,29,20,8,14
"ASAP3",81,98,49,33,46,54,124,38,70
"ID3",250,199,163,131,185,141,349,239,249
"RPL11",8166,9299,8016,4956,9700,8738,9866,5947,7489
"TCEB3",1233,1188,973,741,1213,1496,1628,1014,1168
"RP5-886K2.3",84,73,81,36,66,74,72,46,43
"PITHD1",138,135,105,70,156,177,171,89,129
"LYPLA2",55,41,30,18,38,46,74,46,82
"GALE",32,23,17,15,24,37,42,29,37
"HMGCL",2773,2837,2287,1605,2904,3010,3097,1864,2730
"FUCA1",174,230,191,107,173,220,186,97,132
"PNRC2",5764,4738,5158,3388,4816,5923,7118,3871,4940
"SRSF10",5884,5017,4562,3935,5651,7143,7684,4362,5813
"STPG1",479,454,351,161,269,354,394,249,422
"NIPAL3",827,925,796,484,906,883,1173,647,928
"RCAN3",81,112,81,48,71,99,83,71,106
"LOC100506985",101,85,82,100,105,113,257,98,214
"SRRM1",6014,6528,5140,3894,6119,7282,8079,4613,6343
"CLIC4",1602,1493,1302,2056,2983,3453,6396,3146,4083
"SYF2",936,953,855,594,1002,1135,1037,591,830
"C1orf63",848,719,551,363,467,548,715,310,526
"RHD",35,18,21,29,14,28,17,15,12
"TMEM50A",599,593,558,429,730,690,941,560,751
"TMEM57",214,168,193,133,244,239,362,158,218
"LDLRAP1",84,73,75,53,86,89,93,55,82
"MAN1C1",242,214,189,110,155,180,162,123,164
"SEPN1",293,316,196,113,173,148,358,189,333
"MTFR1L",2331,2227,1911,1212,2139,2231,2644,1719,2082
"LOC646471",61,64,74,21,44,36,66,29,47
"AUNIP",27,20,31,15,38,38,39,19,12
"PAQR7",34,49,28,39,68,64,58,27,31
"STMN1",9220,9451,8551,7843,13809,15603,19655,11774,11251
"PAFAH2",281,254,198,152,265,296,347,234,254
"PDIK1L",2168,1774,1786,1210,1589,2013,2114,1060,1573
"CEP85",610,508,439,248,516,565,581,363,472
"SH3BGRL3",843,1232,683,648,1223,1328,2459,1630,1783
"UBXN11",73,58,26,9,20,22,47,39,57
"LIN28A",29,41,27,21,23,22,37,13,24
"DHDDS",416,450,365,208,410,432,585,350,411
"HMGN2",1248,1041,797,462,818,911,1272,897,1045
"RPS6KA1",37,31,28,24,43,28,54,31,48
"ARID1A",1969,1774,1563,1336,1649,2072,2344,1442,1708
"PIGV",309,266,273,166,211,221,327,167,235
"ZDHHC18",33,23,13,11,17,18,35,30,24
"GPN2",14,23,13,17,21,17,24,21,24
"GPATCH3",34,25,16,6,17,25,32,16,31
"NUDC",150,163,115,101,142,178,287,156,156
"TRNP1",18,21,12,11,35,34,54,17,20
"SLC9A1",24,24,20,21,36,37,25,27,29
"WDTC1",53,50,36,37,45,34,61,45,55
"TMEM222",188,170,94,44,123,119,259,144,179
"LOC644961",85,60,59,69,97,108,84,72,80
"WASF2",358,382,267,179,360,333,481,275,357
"AHDC1",82,75,49,36,60,82,59,61,54
"IFI6",226,159,117,44,99,49,101,48,62
"FAM76A",2561,2323,2119,1562,1945,2666,3133,1595,2171
